Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
The Joy Ride,A/C Seater / Sleeper (2+2),21:15,03:35,06h 20m,488,50 Seats available,3.8,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
Satya Paribahan,A/C Seater (2+3),23:00,05:10,06h 10m,INR 320,23 Seats available,"3.6
39",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
Aradhana Travel,Non AC Seater (2+3),21:45,04:40,06h 55m,INR 500,54 Seats available,New,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
Aradhana Travel,A/C Seater / Sleeper (2+2),18:35,23:55,05h 20m,INR 600,20 Seats available,New,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),17:50,21:35,03h 45m,INR 486,17 Seats available,"4.1
305",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),17:50,21:35,03h 45m,INR 486,17 Seats available,"4.1
12",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Express Line,Scania Multi-Axle AC Semi Sleeper (2+2),18:30,22:50,04h 20m,INR 486,32 Seats available,"4.5
265",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
City Express (Shinjini),AC Seater (2+3),22:45,04:10,05h 25m,INR 370,16 Seats available,"3.8
34",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,04:10,05h 25m,INR 370,12 Seats available,"3.8
28",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
The Joy Ride,A/C Seater / Sleeper (2+2),21:15,02:30,05h 15m,488,50 Seats available,"4.3
12",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Parameswar Travels,A/C Seater Push Back (2+2),17:50,23:00,05h 10m,238,42 Seats available,"2.5
18",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Aradhana Travel,A/C Seater / Sleeper (2+2),18:35,23:00,04h 25m,INR 500,20 Seats available,New,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Aradhana Travel,A/C Seater / Sleeper (2+1),19:35,23:59,04h 24m,INR 500,19 Seats available,New,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Parameswar Travels,A/C Seater Push Back (2+3),18:10,23:30,05h 20m,285,31 Seats available,"2.1
14",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Ankita Paribahan,Non AC Seater (2+3),18:20,23:00,04h 40m,270,32 Seats available,2.5,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Aradhana Travel,Non AC Seater (2+3),21:45,03:25,05h 40m,INR 500,13 Seats available,New,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Parisheba,AC Seater (2+3),18:00,22:30,04h 30m,333,41 Seats available,"2.4
5",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,04:15,04h 40m,INR 370,36 Seats available,"2.3
14",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Satya Paribahan,A/C Seater (2+3),23:00,03:45,04h 45m,INR 320,23 Seats available,"3.0
29",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan,A/C Seater (2+3),23:30,04:00,04h 30m,INR 420,45 Seats available,"2.1
10",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Arunita Paribahan,A/C Seater (2+3),23:35,04:30,04h 55m,INR 420,21 Seats available,"2.6
9",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Satya Paribahan,A/C Seater (2+3),18:20,23:00,04h 40m,INR 320,32 Seats available,2.5,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04:30,05h 00m,INR 300,20 Seats available,"4.6
335",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Express Line,VE A/C Seater (2+2),23:45,04:45,05h 00m,INR 299,26 Seats available,"4.3
328",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Mayuri Express,AC Seater (2+2),23:15,04:30,05h 15m,INR 280,29 Seats available,"4.3
198",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,05:30,07h 30m,INR 600,1 Seat available,"4.2
249",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,INR 400,31 Seats available,"4.2
107",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Parameswar Travels,A/C Seater Push Back (2+3),23:59,05:00,05h 01m,285,41 Seats available,"3.3
125",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Parameswar Travels,A/C Seater Push Back (2+3),23:45,05:00,05h 15m,285,51 Seats available,"3.3
118",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Mayuri Express,A/C Seater (2+3),18:20,22:50,04h 30m,270,61 Seats available,"3.4
29",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
SANTOSH BUS SERVICE,AC Seater (2+3),19:00,23:35,04h 35m,239,44 Seats available,"3.9
5",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,338,20 Seats available,"4.0
119",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Basu Travels,A/C Seater / Sleeper (2+2),23:59,05:00,05h 01m,280,32 Seats available,"3.5
44",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels(Angel),A/C Seater (2+2),23:58,05:10,05h 12m,291,18 Seats available,"4.2
25",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Basu Travels,A/C Seater Push Back (2+3),23:30,04:30,05h 00m,399,20 Seats available,"3.5
30",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Bengal Surface Transport,A/C Seater / Sleeper (2+2),23:55,05:00,05h 05m,271,37 Seats available,"3.3
27",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels (Mayuri),A/C Seater (2+2),23:15,04:00,04h 45m,338,20 Seats available,"3.8
20",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
SANTOSH BUS SERVICE,AC Seater (2+3),18:30,23:45,05h 15m,240,46 Seats available,3.0,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels (Atithi),A/C Seater Push Back (2+3),23:59,05:00,05h 01m,291,41 Seats available,"3.0
31",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
City Express (Shinjini),AC Seater (2+3),23:50,04:55,05h 05m,INR 370,35 Seats available,"2.7
48",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Snemita Parisheba(Samanta),AC Seater (2+3),18:00,22:25,04h 25m,333,25 Seats available,"3.0
21",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Parameswar Travels,A/C Seater Push Back (2+3),23:55,05:00,05h 05m,285,49 Seats available,"2.4
27",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,Non AC Seater (2+3),18:30,22:00,03h 30m,INR 150,49 Seats available,"3.3
63",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),17:50,21:20,03h 30m,INR 486,32 Seats available,"4.8
125",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:00,21:30,03h 30m,INR 486,28 Seats available,"4.4
364",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:00,21:30,03h 30m,INR 486,35 Seats available,"4.7
11",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Greenline (Karunamoyee),Volvo A/C Seater (2+2),18:00,22:00,04h 00m,INR 486,30 Seats available,"4.1
6",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Greenline (Karunamoyee),Volvo A/C Seater (2+2),18:01,22:00,03h 59m,INR 486,32 Seats available,4.3,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Greenline,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),18:05,22:05,04h 00m,INR 486,36 Seats available,"4.7
85",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),18:40,22:25,03h 45m,INR 486,25 Seats available,"4.7
113",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Royal Cruiser,Volvo A/C Seater (2+2),19:30,23:15,03h 45m,INR 500,17 Seats available,"3.8
160",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Pariwartan Bus Service,NON A/C Seater / Sleeper (2+2),18:30,23:00,04h 30m,INR 500,54 Seats available, ,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Maharani Travels,A/C Seater / Sleeper (2+1),21:05,01:30,04h 25m,INR 800,18 Seats available,3.0,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),18:00,22:20,04h 20m,INR 524,32 Seats available,"4.7
64",https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:00,22:30,04h 30m,INR 524,29 Seats available,"4.1
139",https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Greenline (Karunamoyee),Volvo A/C Seater (2+2),18:00,23:00,05h 00m,INR 524,30 Seats available,4.4,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Greenline (Karunamoyee),Volvo A/C Seater (2+2),18:01,23:00,04h 59m,INR 524,30 Seats available,4.3,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Greenline,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),18:05,23:05,05h 00m,INR 524,36 Seats available,"4.3
29",https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),18:40,23:25,04h 45m,INR 524,26 Seats available,"3.9
63",https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Royal Cruiser,Volvo A/C Seater (2+2),19:30,00:15,04h 45m,INR 550,3 Seats available,"3.2
62",https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:00,22:30,04h 30m,INR 524,26 Seats available,"2.8
7",https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Pariwartan Bus Service,NON A/C Seater / Sleeper (2+2),18:30,00:30,06h 00m,INR 500,54 Seats available, ,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Beauty Travels,NON A/C Seater / Sleeper (2+2),20:20,00:30,04h 10m,INR 500,36 Seats available,1.9,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Maharani Travels,A/C Seater / Sleeper (2+1),21:05,02:00,04h 55m,INR 800,18 Seats available,3.0,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:00,20:00,02h 00m,INR 429,24 Seats available,"4.6
96",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),18:00,19:30,01h 30m,INR 429,53 Seats available,"4.5
21",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Greenline (Karunamoyee),Volvo A/C Seater (2+2),18:00,20:30,02h 30m,INR 429,32 Seats available,4.4,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:00,20:00,02h 00m,INR 429,45 Seats available,4.3,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Greenline (Karunamoyee),Volvo A/C Seater (2+2),18:01,20:30,02h 29m,INR 429,30 Seats available,4.3,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),18:40,20:40,02h 00m,INR 429,25 Seats available,"4.4
21",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Royal Cruiser,Volvo A/C Seater (2+2),19:30,22:15,02h 45m,INR 400,20 Seats available,"3.6
15",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Greenline,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),18:05,20:45,02h 40m,INR 429,36 Seats available,"2.8
12",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Suman sabir,Non AC Seater (2+3),18:50,22:00,03h 10m,INR 111,61 Seats available,1.7,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
